mex_muni,value
"cardenas, san luis potosi",4
"chinantla, puebla",7
"huixtla, chiapas",3
"mani, yucatan",8
"cuajinicuilapa, guerrero",2
"buenavista, michoacan de ocampo",7
"cuautepec de hinojosa, hidalgo",4
"rosario, sonora",6
"san miguel panixtlahuaca, oaxaca",7
"santa cruz xitla, oaxaca",9
"chicoasen, chiapas",8
"panuco, zacatecas",3
"matamoros, chihuahua",0
"villa hidalgo, zacatecas",2
"huehuetla, hidalgo",6
"villagran, guanajuato",4
"tlalpan, distrito federal",5
"chicoloapan, mexico",8
"nahuatzen, michoacan de ocampo",0
"banderilla, veracruz de ignacio de la llave",3
"magdalena tlacotepec, oaxaca",4
"camarun de tejeda, veracruz de ignacio de la llave",2
"san juan de los lagos, jalisco",2
"santa cruz xoxocotlan, oaxaca",4
"alvaro obregun, michoacan de ocampo",8
"cuncunul, yucatan",3
"tres valles, veracruz de ignacio de la llave",9
"patzcuaro, michoacan de ocampo",0
"san pedro yulox, oaxaca",0
"tequisquiapan, queretaro arteaga",4
"guasave, sinaloa",9
"san gabriel mixtepec, oaxaca",6
"tecalitlan, jalisco",6
"san pedro pochutla, oaxaca",4
"tepetongo, zacatecas",3
"san mateo rio hondo, oaxaca",3
"colipa, veracruz de ignacio de la llave",4
"taretan, michoacan de ocampo",3
"santa maria tataltepec, oaxaca",0
"totontepec villa de morelos, oaxaca",1
"tubutama, sonora",8
"san pedro cajonos, oaxaca",0
"buenavista de cuellar, guerrero",3
"dzilam gonzalez, yucatan",1
"santo domingo xagacia, oaxaca",4
"santiago ixcuintepec, oaxaca",4
"guadalajara, jalisco",4
"santa maria tecomavaca, oaxaca",3
"donato guerra, mexico",1
"santa clara, durango",0
"tetla de la solidaridad, tlaxcala",4
"atoyatempan, puebla",5
"santiago laollaga, oaxaca",4
"amixtlan, puebla",0
"mixtla de altamirano, veracruz de ignacio de la llave",4
"mexicali, baja california",1
"santiago ixcuintla, nayarit",8
"valle hermoso, tamaulipas",2
"san juan bautista tlacoatzintepec, oaxaca",5
"san antonio sinicahua, oaxaca",7
"dzilam de bravo, yucatan",6
"tequixquiac, mexico",6
"tiquicheo de nicolas romero, michoacan de ocampo",4
"campeche yucatan, campeche yucatan",6
"santa ines ahuatempan, puebla",6
"santa ana zegache, oaxaca",8
"san pedro teozacoalco, oaxaca",9
"tlalnepantla de baz, mexico",0
"huepac, sonora",7
"cosolapa, oaxaca",8
"san sebastian ixcapa, oaxaca",5
"santa maria yucuhiti, oaxaca",9
"san miguel tenango, oaxaca",6
"san juan ozolotepec, oaxaca",0
"villa de la paz, san luis potosi",1
"san mateo del mar, oaxaca",9
"soltepec, puebla",7
"tepakan, yucatan",4
"ixhuatlan de madero, veracruz de ignacio de la llave",3
"paracuaro, michoacan de ocampo",4
"chamula, chiapas",7
"tantima, veracruz de ignacio de la llave",5
"san andres cabecera nueva, oaxaca",9
"aquiles serdan, chihuahua",9
"zacapala, puebla",5
"coatepec, veracruz de ignacio de la llave",2
"benito juarez, guerrero",9
"bacerac, sonora",0
"jonuta, tabasco",4
"ascensiun, chihuahua",1
"morelos, michoacan de ocampo",3
"chocaman, veracruz de ignacio de la llave",3
"acala, chiapas",0
"izucar de matamoros, puebla",6
"santa maria de la paz, zacatecas",2
"vanegas, san luis potosi",9
"misantla, veracruz de ignacio de la llave",8
"acatlan de juarez, jalisco",8
"penamiller, queretaro arteaga",9
"tepatlaxco de hidalgo, puebla",4
"villa de guadalupe, san luis potosi",5
"coxquihui, veracruz de ignacio de la llave",0
"buenaventura, chihuahua",4
"san martin peras, oaxaca",5
"tanquian de escobedo, san luis potosi",0
"ticul, yucatan",1
"san agustin tlacotepec, oaxaca",6
"san pedro taviche, oaxaca",8
"ixtlan, michoacan de ocampo",4
"juanacatlan, jalisco",4
"benjamin hill, sonora",5
"san miguel de horcasitas, sonora",8
"cintalapa, chiapas",9
"hecelchakan, campeche",5
"gumez farias, tamaulipas",0
"totolapa, chiapas",2
"tataltepec de valdes, oaxaca",7
"villa de etla, oaxaca",0
"hoctun, yucatan",9
"escobedo, coahuila de zaragoza",5
"tuxtilla, veracruz de ignacio de la llave",2
"fresnillo de trujano, oaxaca",8
"chimalhuacan, mexico",9
"leun, guanajuato",4
"huanimaro, guanajuato",0
"tinguindin, michoacan de ocampo",7
"santo tomas jalieza, oaxaca",8
"chiapilla, chiapas",2
"valle de bravo, mexico",1
"acuitzio, michoacan de ocampo",6
"temoaya, mexico",5
"chiconamel, veracruz de ignacio de la llave",9
"santa maria ecatepec, oaxaca",7
"soconusco, veracruz de ignacio de la llave",5
"zapopan, jalisco",4
"tlacoachistlahuaca, guerrero",0
"san cristubal amoltepec, oaxaca",6
"atarjea, guanajuato",1
"teteles de avila castillo, puebla",8
"allende, chihuahua",8
"asunciun tlacolulita, oaxaca",3
"teocuitatlan de corona, jalisco",7
"chila, puebla",1
"mexticacan, jalisco",7
"del nayar, nayarit",1
"zapotlan de juarez, hidalgo",8
"mariscala de juarez, oaxaca",7
"zapotlan del rey, jalisco",8
"santa maria papalo, oaxaca",0
"coahuayutla de jose maria izazaga, guerrero",2
"dzoncauich, yucatan",3
"santos reyes nopala, oaxaca",3
"santa catarina tlaltempan, puebla",4
"guadalupe etla, oaxaca",7
"emiliano zapata, veracruz de ignacio de la llave",1
"san sebastian coatlan, oaxaca",1
"mezquitic, jalisco",3
"tacambaro, michoacan de ocampo",4
"villa pesqueira, sonora",4
"acatzingo, puebla",8
"san miguel coatlan, oaxaca",3
"san ciro de acosta, san luis potosi",7
"oriental, puebla",2
"tlanepantla, puebla",4
"tasquillo, hidalgo",3
"santa magdalena jicotlan, oaxaca",2
"ocampo, durango",8
"jalpan, puebla",4
"sudzal, yucatan",9
"atempan, puebla",6
"san jose estancia grande, oaxaca",9
"san pedro ocotepec, oaxaca",4
"monjas, oaxaca",8
"calihuala, oaxaca",5
"tepoztlan, morelos",3
"hueytlalpan, puebla",2
"granados, sonora",3
"chilcuautla, hidalgo",3
"los reyes, michoacan de ocampo",1
"la colorada, sonora",3
"huamuxtitlan, guerrero",7
"jacala de ledezma, hidalgo",7
"chinameca, veracruz de ignacio de la llave",5
"teloloapan, guerrero",5
"zumpahuacan, mexico",0
"tlatlaya, mexico",2
"isla mujeres, quintana roo",1
"ebano, san luis potosi",3
"mazapiltepec de juarez, puebla",6
"mazamitla, jalisco",5
"san lucas zoquiapam, oaxaca",7
"santiago tulantepec de lugo guerrero, hidalgo",4
"santa ines yatzeche, oaxaca",8
"tepeapulco, hidalgo",3
"copala, guerrero",3
"san gregorio atzompa, puebla",1
"yahualica de gonzalez gallo, jalisco",8
"rafael delgado, veracruz de ignacio de la llave",1
"villa victoria, mexico",2
"atzitzihuacan, puebla",3
"acuamanala de miguel hidalgo, tlaxcala",3
"los reyes de juarez, puebla",2
"cruillas, tamaulipas",8
"atoyac de alvarez, guerrero",8
"coeneo, michoacan de ocampo",7
"villa de alvarez, colima",4
"tecolotlan, jalisco",2
"aldama, chiapas",5
"cardenas, tabasco",5
"chacaltianguis, veracruz de ignacio de la llave",7
"noria de angeles, zacatecas",8
"chihuahua-durango, chihuahua-durango",0
"san juan coatzuspam, oaxaca",3
"san vicente nunu, oaxaca",6
"ixtlahuaca, mexico",5
"acteopan, puebla",7
"jalpa, zacatecas",8
"villa hidalgo, sonora",8
"hocaba, yucatan",9
"santa maria jalapa del marques, oaxaca",4
"periban, michoacan de ocampo",7
"yutanduchi de guerrero, oaxaca",2
"ecatzingo, mexico",3
"pantepec, puebla",0
"nicolas flores, hidalgo",3
"bachiniva, chihuahua",5
"san juan tamazola, oaxaca",1
"san marcial ozolotepec, oaxaca",6
"santo domingo petapa, oaxaca",6
"hidalgo del parral, chihuahua",5
"concordia, sinaloa",2
"chihuahua durango, chihuahua durango",2
"ixtlahuacan, colima",6
"igualapa, guerrero",2
"san sebastian tlacotepec, puebla",2
"almoloya de alquisiras, mexico",7
"san lucas, michoacan de ocampo",0
"canitas de felipe pescador, zacatecas",8
"agualeguas, nuevo leun",9
"san pedro martir yucuxaco, oaxaca",0
"hermenegildo galeana, puebla",6
"san pedro atoyac, oaxaca",7
"progreso, yucatan",9
"san pedro garza garcia, nuevo leun",9
"timilpan, mexico",3
"santo tomas tamazulapan, oaxaca",7
"jilotlan de los dolores, jalisco",4
"san agustin yatareni, oaxaca",1
"juan aldama, zacatecas",1
"villa de arriaga, san luis potosi",6
"san lucas camotlan, oaxaca",6
"pabellun de arteaga, aguascalientes",7
"huixquilucan, mexico",2
"nanacamilpa de mariano arista, tlaxcala",9
"san andres zautla, oaxaca",0
"tonayan, veracruz de ignacio de la llave",0
"mayapan, yucatan",1
"parras, coahuila de zaragoza",5
"amaxac de guerrero, tlaxcala",2
"malinalco, mexico",0
"salamanca, guanajuato",2
"cuapiaxtla de madero, puebla",5
"san nicolas, tamaulipas",5
"jantetelco, morelos",1
"san matias tlalancaleca, puebla",2
"san martin tilcajete, oaxaca",2
"san juan cieneguilla, oaxaca",6
"tampico, tamaulipas",1
"tampamolun corona, san luis potosi",3
"la manzanilla de la paz, jalisco",1
"coatecas altas, oaxaca",6
"perote, veracruz de ignacio de la llave",3
"san miguel ahuehuetitlan, oaxaca",4
"tanhuato, michoacan de ocampo",1
"zoquiapan, puebla",6
"irapuato, guanajuato",0
"rayones, nuevo leun",8
"peto, yucatan",7
"yautepec, morelos",8
"chiapa de corzo, chiapas",0
"san juan evangelista analco, oaxaca",4
"jimenez del teul, zacatecas",2
"mascota, jalisco",8
"cochoapa el grande, guerrero",9
"concepciun del oro, zacatecas",3
"ahumada, chihuahua",3
"tianguismanalco, puebla",1
"nazas, durango",5
"teuchitlan, jalisco",7
"zoquitlan, puebla",0
"santa catarina tayata, oaxaca",4
"fortin, veracruz de ignacio de la llave",0
"nacori chico, sonora",8
"isla, veracruz de ignacio de la llave",5
"san miguel de allende, guanajuato",2
"martires de tacubaya, oaxaca",9
"aculco, mexico",4
"catazaja, chiapas",1
"san juan mixtepec - dto. 26 -, oaxaca",9
"chilpancingo de los bravo, guerrero",8
"atzacan, veracruz de ignacio de la llave",5
"nombre de dios, durango",2
"galeana, nuevo leun",8
"guadalupe victoria, puebla",8
"san bartolo yautepec, oaxaca",0
"huhi, yucatan",2
"martinez de la torre, veracruz de ignacio de la llave",7
"santa maria alotepec, oaxaca",3
"guerrero, chihuahua",9
"tuzantla, michoacan de ocampo",6
"maravilla tenejapa, chiapas",7
"pedro escobedo, queretaro arteaga",8
"bacanora, sonora",8
"tequila, veracruz de ignacio de la llave",7
"cazones de herrera, veracruz de ignacio de la llave",7
"cedral, san luis potosi",2
"san antonino monte verde, oaxaca",9
"san juan atzompa, puebla",3
"ramos arizpe, coahuila de zaragoza",0
"san vicente lachixio, oaxaca",9
"tierra nueva, san luis potosi",2
"ixtenco, tlaxcala",3
"san francisco chapulapa, oaxaca",2
"mexquitic de carmona, san luis potosi",0
"copalillo, guerrero",7
"san pedro martir, oaxaca",6
"chankom, yucatan",4
"magdalena, sonora",3
"juchitlan, jalisco",6
"atlahuilco, veracruz de ignacio de la llave",6
"francisco i. madero, coahuila de zaragoza",6
"dzan, yucatan",5
"polotitlan, mexico",2
"san felipe tejalapam, oaxaca",7
"soledad de doblado, veracruz de ignacio de la llave",4
"atlapexco, hidalgo",5
"suchil, durango",2
"santo domingo roayaga, oaxaca",9
"hidalgo, michoacan de ocampo",3
"atzala, puebla",4
"san baltazar yatzachi el bajo, oaxaca",6
"santiago llano grande, oaxaca",3
"gustavo a. madero, distrito federal",3
"san lorenzo victoria, oaxaca",1
"coatepec harinas, mexico",6
"sitala, chiapas",2
"cuauhtemoc, chihuahua",3
"mainero, tamaulipas",2
"santiago pinotepa nacional, oaxaca",2
"san antonio tepetlapa, oaxaca",1
"santiago lachiguiri, oaxaca",3
"teopisca, chiapas",5
"san miguel tecomatlan, oaxaca",8
"san pablo coatlan, oaxaca",7
"santa catarina quioquitani, oaxaca",3
"atengo, jalisco",4
"tabasco, zacatecas",1
"nuevo parangaricutiro, michoacan de ocampo",3
"santa maria huatulco, oaxaca",7
"aquismun, san luis potosi",3
"san martin lachila, oaxaca",6
"quiroga, michoacan de ocampo",9
"san pedro y san pablo ayutla, oaxaca",1
"san felipe de jesus, sonora",1
"apetatitlan de antonio carvajal, tlaxcala",3
"el oro, durango",8
"jose maria morelos, quintana roo",7
"cuyamecalco villa de zaragoza, oaxaca",8
"santiago ihuitlan plumas, oaxaca",3
"la grandeza, chiapas",0
"pijijiapan, chiapas",9
"san bartolo coyotepec, oaxaca",1
"san miguel suchixtepec, oaxaca",2
"platun sanchez, veracruz de ignacio de la llave",9
"melchor ocampo, mexico",9
"onavas, sonora",2
"capulhuac, mexico",3
"mazapil, zacatecas",5
"axapusco, mexico",0
"ostuacan, chiapas",9
"apozol, zacatecas",5
"jimenez, coahuila de zaragoza",3
"tuxpan, nayarit",3
"tlayacapan, morelos",2
"tetecala, morelos",7
"santa cruz itundujia, oaxaca",7
"santa maria lachixio, oaxaca",8
"santa maria zacatepec, oaxaca",3
"san francisco huehuetlan, oaxaca",6
"guaymas, sonora",9
"santo domingo de morelos, oaxaca",3
"victoria, guanajuato",0
"panuco, veracruz de ignacio de la llave",8
"tatahuicapan de juarez, veracruz de ignacio de la llave",6
"chiapas-tabasco, chiapas-tabasco",8
"zinapecuaro, michoacan de ocampo",4
"amacuzac, morelos",5
"jiquipilas, chiapas",2
"cosoleacaque, veracruz de ignacio de la llave",4
"tecali de herrera, puebla",1
"mixtla, puebla",5
"garcia, nuevo leun",8
"santa elena, yucatan",0
"el arenal, hidalgo",2
"san francisco tetlanohcan, tlaxcala",2
"el barrio de la soledad, oaxaca",3
"ixhuatan, chiapas",5
"tamazula, durango",4
"teolocholco, tlaxcala",9
"los herreras, nuevo leun",0
"santiago zacatepec, oaxaca",6
"nicolas bravo, puebla",2
"tierra blanca, veracruz de ignacio de la llave",5
"cacalchen, yucatan",2
"suchiapa, chiapas",0
"atzitzintla, puebla",6
"santos reyes yucuna, oaxaca",3
"coetzala, veracruz de ignacio de la llave",9
"julimes, chihuahua",7
"cuzama, yucatan",0
"jilotepec, mexico",3
"juchipila, zacatecas",6
"mapimi, durango",1
"santa cruz papalutla, oaxaca",7
"mixistlan de la reforma, oaxaca",6
"san carlos, tamaulipas",3
"tepehuacan de guerrero, hidalgo",7
"yahualica, hidalgo",0
"tlacotepec plumas, oaxaca",2
"huauchinango, puebla",3
"hidalgo, coahuila de zaragoza",3
"tizayuca, hidalgo",1
"campeche-quintana roo-yucatan, campeche-quintana roo-yucatan",2
"el salto, jalisco",3
"cuauhtemoc, colima",4
"tlalmanalco, mexico",8
"san jose del progreso, oaxaca",3
"santa catarina, san luis potosi",3
"ursulo galvan, veracruz de ignacio de la llave",0
"santa ana cuauhtemoc, oaxaca",9
"arivechi, sonora",2
"san andres yaa, oaxaca",7
"divisaderos, sonora",3
"santo domingo tomaltepec, oaxaca",2
"agua dulce, veracruz de ignacio de la llave",6
"munoz de domingo arenas, tlaxcala",4
"tacotalpa, tabasco",9
"ayapango, mexico",8
"mina, nuevo leun",5
"santo domingo ozolotepec, oaxaca",9
"santa maria chilchotla, oaxaca",7
"san miguel ixitlan, puebla",8
"chicontepec, veracruz de ignacio de la llave",3
"san miguel peras, oaxaca",6
"sabanilla, chiapas",6
"santiago apoala, oaxaca",6
"nuevo laredo, tamaulipas",4
"chilapa de alvarez, guerrero",4
"sinaloa, sinaloa",0
"taniche, oaxaca",1
"san juan teitipac, oaxaca",3
"san agustin etla, oaxaca",5
"trinidad zaachila, oaxaca",4
"colima, colima",2
"felipe carrillo puerto, quintana roo",3
"nocupetaro, michoacan de ocampo",2
"nejapa de madero, oaxaca",1
"san pedro totolapa, oaxaca",7
"santo domingo teojomulco, oaxaca",8
"rafael lucio, veracruz de ignacio de la llave",7
"zaragoza, san luis potosi",4
"huejucar, jalisco",5
"teotihuacan, mexico",9
"chimaltitan, jalisco",2
"hueypoxtla, mexico",7
"coatzacoalcos, veracruz de ignacio de la llave",5
"cuyoaco, puebla",0
"san pablo tijaltepec, oaxaca",6
"almoloya de juarez, mexico",9
"tlatlauquitepec, puebla",3
"larrainzar, chiapas",8
"tepatlaxco, veracruz de ignacio de la llave",5
"etzatlan, jalisco",4
"san pedro quiatoni, oaxaca",2
"atoyac, jalisco",8
"caltepec, puebla",8
"coalcoman de vazquez pallares, michoacan de ocampo",1
"uniun de tula, jalisco",6
"tezontepec de aldama, hidalgo",2
"zinaparo, michoacan de ocampo",1
"montemorelos, nuevo leun",0
"tepemaxalco, puebla",6
"la paz, baja california sur",1
"panaba, yucatan",4
"huitzuco de los figueroa, guerrero",5
"totutla, veracruz de ignacio de la llave",7
"san miguel santa flor, oaxaca",3
"morelos, mexico",5
"tecoh, yucatan",3
"san pedro del gallo, durango",3
"melchor ocampo, zacatecas",8
"tlahualilo, durango",7
"xochistlahuaca, guerrero",6
"la concordia, chiapas",3
"santiago yaveo, oaxaca",1
"ocotlan de morelos, oaxaca",1
"soto la marina, tamaulipas",6
"santa maria petapa, oaxaca",6
"villa de zaachila, oaxaca",4
"sitio de xitlapehua, oaxaca",2
"tekax, yucatan",7
"cuautempan, puebla",5
"motozintla, chiapas",0
"dzemul, yucatan",1
"moctezuma, sonora",3
"el arenal, jalisco",8
"campeche quintana roo, campeche quintana roo",4
"cusihuiriachi, chihuahua",4
"culiacan, sinaloa",1
"xayacatlan de bravo, puebla",0
"cuautitlan izcalli, mexico",2
"calpan, puebla",9
"banamichi, sonora",9
"corregidora, queretaro arteaga",2
"inde, durango",1
"lerma, mexico",7
"dolores hidalgo cuna de la independencia nal., guanajuato",9
"medellin, veracruz de ignacio de la llave",4
"villa de tututepec de melchor ocampo, oaxaca",8
"chiapas tabasco, chiapas tabasco",4
"cananea, sonora",4
"san jerunimo silacayoapilla, oaxaca",0
"chignahuapan, puebla",8
"bacadehuachi, sonora",9
"nava, coahuila de zaragoza",4
"pluma hidalgo, oaxaca",4
"el porvenir, chiapas",3
"aljojuca, puebla",3
"ayoquezco de aldama, oaxaca",8
"jose azueta, guerrero",3
"chihuahua, chihuahua",3
"poanas, durango",5
"san juan cancuc, chiapas",9
"san jose iturbide, guanajuato",1
"santiago huauclilla, oaxaca",2
"juarez, coahuila de zaragoza",3
"texcalyacac, mexico",9
"san miguel tilquiapam, oaxaca",8
"tlanalapa, hidalgo",4
"reyes etla, oaxaca",5
"san juan mazatlan, oaxaca",3
"playas de rosarito, baja california",3
"toluca, mexico",0
"san carlos yautepec, oaxaca",6
"acula, veracruz de ignacio de la llave",1
"apizaco, tlaxcala",0
"satevu, chihuahua",3
"trancoso, zacatecas",4
"tamiahua, veracruz de ignacio de la llave",3
"san francisco sola, oaxaca",1
"ixcateopan de cuauhtemoc, guerrero",2
"purepero, michoacan de ocampo",4
"comitan de dominguez, chiapas",2
"san marcos arteaga, oaxaca",8
"acajete, veracruz de ignacio de la llave",1
"san bartolome yucuane, oaxaca",4
"ocotepec, puebla",3
"caxhuacan, puebla",9
"tihuatlan, veracruz de ignacio de la llave",8
"tuxpan, veracruz de ignacio de la llave",0
"palmar de bravo, puebla",5
"huautla de jimenez, oaxaca",1
"praxedis g. guerrero, chihuahua",3
"agua prieta, sonora",3
"yaxkukul, yucatan",5
"huajicori, nayarit",6
"doctor mora, guanajuato",8
"el bosque, chiapas",1
"santa catarina ticua, oaxaca",8
"san felipe usila, oaxaca",0
"salvatierra, guanajuato",4
"acatlan, hidalgo",0
"calcahualco, veracruz de ignacio de la llave",0
"villamar, michoacan de ocampo",5
"san jose independencia, oaxaca",3
"baviacora, sonora",1
"mocorito, sinaloa",1
"san bartolo soyaltepec, oaxaca",2
"dr. arroyo, nuevo leun",5
"nauzontla, puebla",0
"san gabriel, jalisco",2
"santa maria ozolotepec, oaxaca",7
"domingo arenas, puebla",8
"tepetlixpa, mexico",6
"san juan quiahije, oaxaca",5
"juchitepec, mexico",1
"tlalnelhuayocan, veracruz de ignacio de la llave",8
"nealtican, puebla",6
"san juan achiutla, oaxaca",7
"san vicente coatlan, oaxaca",9
"ignacio de la llave, veracruz de ignacio de la llave",8
"san juan teposcolula, oaxaca",3
"landero y coss, veracruz de ignacio de la llave",5
"santa catarina yosonotu, oaxaca",7
"santa maria teopoxco, oaxaca",3
"cocula, guerrero",3
"huautepec, oaxaca",9
"cuautlancingo, puebla",1
"pungarabato, guerrero",7
"san jose miahuatlan, puebla",2
"chapantongo, hidalgo",3
"pitiquito, sonora",7
"valle de juarez, jalisco",0
"chalco, mexico",6
"penun blanco, durango",3
"hunucma, yucatan",6
"jocotitlan, mexico",0
"oquitoa, sonora",2
"metepec, mexico",0
"santiago maravatio, guanajuato",3
"san pablo huixtepec, oaxaca",8
"canatlan, durango",0
"san dionisio ocotepec, oaxaca",7
"saric, sonora",8
"canelas, durango",6
"san pedro sochiapam, oaxaca",4
"cuauhtemoc, distrito federal",4
"ixtlan de juarez, oaxaca",7
"oluta, veracruz de ignacio de la llave",8
"cardonal, hidalgo",0
"san pedro ocopetatillo, oaxaca",3
"tamasopo, san luis potosi",6
"santa maria atzompa, oaxaca",7
"villa de cos, zacatecas",5
"ixtaczoquitlan, veracruz de ignacio de la llave",1
"reforma, chiapas",7
"jerecuaro, guanajuato",3
"uruapan, michoacan de ocampo",3
"yurecuaro, michoacan de ocampo",3
"ciudad valles, san luis potosi",3
"aramberri, nuevo leun",6
"ocoyucan, puebla",4
"tlalixtac de cabrera, oaxaca",2
"salinas, san luis potosi",1
"aldama, tamaulipas",1
"tepehuanes, durango",8
"san juan del rio, queretaro arteaga",0
"indaparapeo, michoacan de ocampo",2
"villa hidalgo, oaxaca",9
"san andres paxtlan, oaxaca",2
"san juan bautista cuicatlan, oaxaca",8
"santo domingo zanatepec, oaxaca",4
"papalotla, mexico",6
"santiago miahuatlan, puebla",3
"las margaritas, chiapas",1
"san jose de gracia, aguascalientes",6
"san jose ayuquila, oaxaca",2
"tecomatlan, puebla",0
"san francisco de borja, chihuahua",5
"santa maria zoquitlan, oaxaca",5
"eloxochitlan de flores magun, oaxaca",4
"cortazar, guanajuato",3
"zongozotla, puebla",1
"joquicingo, mexico",1
"catorce, san luis potosi",7
"saltillo, coahuila de zaragoza",6
"santa cruz de bravo, oaxaca",2
"san juan yucuita, oaxaca",8
"ecatepec de morelos, mexico",6
"huehuetan, chiapas",2
"huamantla, tlaxcala",7
"san bartolo tutotepec, hidalgo",8
"campeche quintana roo yucatan, campeche quintana roo yucatan",2
"santa maria tonameca, oaxaca",6
"uniun hidalgo, oaxaca",9
"ayahualulco, veracruz de ignacio de la llave",5
"nicolas ruiz, chiapas",2
"candela, coahuila de zaragoza",0
"zinacatepec, puebla",5
"san pedro tidaa, oaxaca",8
"otaez, durango",1
"santa catarina ayometla, tlaxcala",5
"xicotlan, puebla",4
"quintana roo, yucatan",1
"tonila, jalisco",5
"ixcaquixtla, puebla",5
"san miguel amatitlan, oaxaca",0
"tlacolulan, veracruz de ignacio de la llave",9
"kinchil, yucatan",8
"juan rodriguez clara, veracruz de ignacio de la llave",7
"arizpe, sonora",9
"cerralvo, nuevo leun",5
"aporo, michoacan de ocampo",2
"coyotepec, puebla",5
"fresnillo, zacatecas",7
"tumbala, chiapas",1
"gral. teran, nuevo leun",3
"san lorenzo cuaunecuiltitla, oaxaca",5
"santa maria tlahuitoltepec, oaxaca",1
"san cristubal de la barranca, jalisco",5
"cuautla, morelos",6
"jesus maria, aguascalientes",4
"sanahcat, yucatan",5
"santo domingo yanhuitlan, oaxaca",8
"toliman, jalisco",1
"ojocaliente, zacatecas",5
"san jacinto amilpas, oaxaca",4
"coatzintla, veracruz de ignacio de la llave",7
"hidalgo, tamaulipas",4
"zacatecas, zacatecas",9
"bahia de banderas, nayarit",8
"guadalupe, zacatecas",4
"tezoyuca, mexico",4
"san ignacio, sinaloa",0
"ixpantepec nieves, oaxaca",5
"san miguel el alto, jalisco",8
"tantoyuca, veracruz de ignacio de la llave",9
"leonardo bravo, guerrero",8
"cuitzeo, michoacan de ocampo",1
"santa maria de los angeles, jalisco",5
"santa maria nativitas, oaxaca",7
"eduardo neri, guerrero",8
"xalpatlahuac, guerrero",2
"tepezala, aguascalientes",8
"san juan del estado, oaxaca",5
"santiago yaitepec, oaxaca",1
"santa catarina mechoacan, oaxaca",2
"xochitlan de vicente suarez, puebla",0
"jimenez, michoacan de ocampo",2
"ciudad madero, tamaulipas",8
"caracuaro, michoacan de ocampo",2
"venustiano carranza, puebla",2
"san pedro mixtepec   dto. 26  , oaxaca",3
"tlapehuala, guerrero",8
"tempoal, veracruz de ignacio de la llave",3
"matachi, chihuahua",7
"huayacocotla, veracruz de ignacio de la llave",0
"tlalixtaquilla de maldonado, guerrero",1
"singuilucan, hidalgo",0
"apaxtla, guerrero",8
"temascalcingo, mexico",1
"tekit, yucatan",0
"ixhuacan de los reyes, veracruz de ignacio de la llave",9
"pueblo viejo, veracruz de ignacio de la llave",9
"dzitas, yucatan",9
"papalotla de xicohtencatl, tlaxcala",9
"el fuerte, sinaloa",8
"coyutla, veracruz de ignacio de la llave",0
"san jerunimo tecuatl, oaxaca",1
"santa catarina lachatao, oaxaca",1
"copandaro, michoacan de ocampo",6
"coicoyan de las flores, oaxaca",5
"tancitaro, michoacan de ocampo",8
"atoyac, veracruz de ignacio de la llave",8
"ayala, morelos",5
"comala, colima",1
"tahdziu, yucatan",1
"siltepec, chiapas",1
"san francisco teopan, oaxaca",6
"san juan guichicovi, oaxaca",4
"san jerunimo tecuanipan, puebla",2
"atlautla, mexico",9
"jocotepec, jalisco",3
"hidalgo, durango",6
"cheran, michoacan de ocampo",0
"chenalhu, chiapas",1
"san jose chiltepec, oaxaca",3
"huehuetla, puebla",3
"tulancingo de bravo, hidalgo",5
"cuaxomulco, tlaxcala",9
"cuapiaxtla, tlaxcala",3
"santa maria del oro, nayarit",7
"coronango, puebla",7
"guevea de humboldt, oaxaca",5
"santos reyes tepejillo, oaxaca",4
"santiago jocotepec, oaxaca",6
"huanusco, zacatecas",2
"tlaltizapan, morelos",8
"san lorenzo cacaotepec, oaxaca",8
"teopantlan, puebla",1
"toliman, queretaro arteaga",7
"sinanche, yucatan",1
"puerto vallarta, jalisco",2
"sabinas, coahuila de zaragoza",9
"zitacuaro, michoacan de ocampo",8
"milpa alta, distrito federal",3
"tlaltenango de sanchez roman, zacatecas",4
"san miguel el grande, oaxaca",8
"nuevo zoquiapam, oaxaca",2
"tepelmeme villa de morelos, oaxaca",0
"seye, yucatan",6
"ixhuatlancillo, veracruz de ignacio de la llave",1
"carlos a. carrillo, veracruz de ignacio de la llave",6
"xochitepec, morelos",4
"san juan bautista lo de soto, oaxaca",8
"cosio, aguascalientes",8
"santiago xanica, oaxaca",8
"tlachichilco, veracruz de ignacio de la llave",5
"tepexco, puebla",5
"chavinda, michoacan de ocampo",0
"atlamajalcingo del monte, guerrero",1
"nuevo morelos, tamaulipas",1
"ocampo, guanajuato",4
"libres, puebla",5
"lolotla, hidalgo",3
"san martin de los cansecos, oaxaca",6
"cueramaro, guanajuato",1
"conkal, yucatan",8
"padilla, tamaulipas",9
"san damian texoloc, tlaxcala",7
"yauhquemecan, tlaxcala",5
"rosario, sinaloa",2
